Photon energy [eV],Photons/s/0.1%bw
2.940000000000000000e+04,2.135753401230092529e+12
2.941000000000000000e+04,2.318034220818385742e+12
2.942000000000000000e+04,2.462787640312640137e+12
2.943000000000000000e+04,2.541399821027757812e+12
2.944000000000000000e+04,2.556665930337462891e+12
2.945000000000000000e+04,2.545975000078323242e+12
2.946000000000000000e+04,2.569370692860486816e+12
2.947000000000000000e+04,2.680807220183696777e+12
2.948000000000000000e+04,2.904971977976260254e+12
2.949000000000000000e+04,3.218334058254881348e+12
2.950000000000000000e+04,3.556614574558426758e+12
2.951000000000000000e+04,3.838473775930665039e+12
2.952000000000000000e+04,4.005142355690519043e+12
2.953000000000000000e+04,4.052806298594647949e+12
2.954000000000000000e+04,4.044234491208233887e+12
2.955000000000000000e+04,4.092457819917056641e+12
2.956000000000000000e+04,4.312791117066186523e+12
2.957000000000000000e+04,4.768401885765865234e+12
2.958000000000000000e+04,5.433671941547549805e+12
2.959000000000000000e+04,6.188342323099240234e+12
2.960000000000000000e+04,6.857700033181011719e+12
2.961000000000000000e+04,7.295822368009803711e+12
2.962000000000000000e+04,7.460972127693531250e+12
2.963000000000000000e+04,7.473476205634773438e+12
2.964000000000000000e+04,7.599070190166723633e+12
2.965000000000000000e+04,8.166449217058746094e+12
2.966000000000000000e+04,9.420392377795082031e+12
2.967000000000000000e+04,1.139670499194899414e+13
2.968000000000000000e+04,1.383420909108372070e+13
2.969000000000000000e+04,1.622473218330408594e+13
2.970000000000000000e+04,1.800419812709292578e+13
2.971000000000000000e+04,1.884507886467125000e+13
2.972000000000000000e+04,1.900688300389071875e+13
2.973000000000000000e+04,1.958016097696126953e+13
2.974000000000000000e+04,2.256319462317495703e+13
2.975000000000000000e+04,3.065137640146677344e+13
2.976000000000000000e+04,4.677141806493701562e+13
2.977000000000000000e+04,7.339919520867695312e+13
2.978000000000000000e+04,1.118694158750623281e+14
2.979000000000000000e+04,1.618152251274413750e+14
2.980000000000000000e+04,2.209485859103881250e+14
2.981000000000000000e+04,2.852689466851053125e+14
2.982000000000000000e+04,3.497005946645211250e+14
2.983000000000000000e+04,4.090277406556190625e+14
2.984000000000000000e+04,4.589376549225068125e+14
2.985000000000000000e+04,4.968469173812621250e+14
2.986000000000000000e+04,5.224045430002860625e+14
2.987000000000000000e+04,5.373767171325829375e+14
2.988000000000000000e+04,5.450558989404188750e+14
2.989000000000000000e+04,5.492849932511408125e+14
2.990000000000000000e+04,5.532929132501732500e+14
2.991000000000000000e+04,5.587677011320813125e+14
2.992000000000000000e+04,5.652972639184107500e+14
2.993000000000000000e+04,5.704044455783980000e+14
2.994000000000000000e+04,5.701545831786351250e+14
2.995000000000000000e+04,5.601796247069188125e+14
2.996000000000000000e+04,5.368810694576321250e+14
2.997000000000000000e+04,4.984548407996535625e+14
2.998000000000000000e+04,4.455271698001529375e+14
2.999000000000000000e+04,3.812146621413003125e+14
3.000000000000000000e+04,3.105745533482700625e+14
3.001000000000000000e+04,2.396509100305383750e+14
3.002000000000000000e+04,1.743202867119767188e+14
3.003000000000000000e+04,1.192132696512258594e+14
3.004000000000000000e+04,7.699255985352012500e+13
3.005000000000000000e+04,4.810199201767049219e+13
3.006000000000000000e+04,3.102061296477896484e+13
3.007000000000000000e+04,2.289175715106383594e+13
3.008000000000000000e+04,2.035325048313467188e+13
3.009000000000000000e+04,2.029455471918209766e+13
3.010000000000000000e+04,2.044315346737687109e+13
3.011000000000000000e+04,1.959352260836767578e+13
3.012000000000000000e+04,1.752563741131578320e+13
3.013000000000000000e+04,1.470289981724208203e+13
3.014000000000000000e+04,1.185732451606874023e+13
3.015000000000000000e+04,9.622886844344714844e+12
3.016000000000000000e+04,8.306077456222700195e+12
3.017000000000000000e+04,7.844480920437484375e+12
3.018000000000000000e+04,7.899455428284702148e+12
3.019000000000000000e+04,8.043588838658988281e+12
3.020000000000000000e+04,7.935839152463842773e+12
3.021000000000000000e+04,7.436454575496072266e+12
3.022000000000000000e+04,6.617808731047408203e+12
3.023000000000000000e+04,5.690431951324063477e+12
3.024000000000000000e+04,4.895623969130418945e+12
3.025000000000000000e+04,4.395899720080677734e+12
3.026000000000000000e+04,4.220513826023515625e+12
3.027000000000000000e+04,4.268999178782672363e+12
3.028000000000000000e+04,4.373133871005619629e+12
3.029000000000000000e+04,4.375611093047984375e+12
3.030000000000000000e+04,4.190597489030493164e+12
3.031000000000000000e+04,3.832056231612494629e+12
3.032000000000000000e+04,3.393561494695339844e+12
3.033000000000000000e+04,2.996859036855996582e+12
3.034000000000000000e+04,2.739089790649704102e+12
3.035000000000000000e+04,2.650518613559311523e+12
3.036000000000000000e+04,2.689228716253337891e+12
3.037000000000000000e+04,2.767954418743809082e+12
3.038000000000000000e+04,2.793928910604112305e+12
3.039000000000000000e+04,2.710711338999091797e+12
3.040000000000000000e+04,2.517743681002045410e+12
